respondent_id,age,gender,country,education_level,employment_status,industry,job_role_level,work_experience_years,income_bracket,household_dependents,perceived_automation_risk,role_partially_automated,pct_tasks_automatable,ai_awareness,enrolled_reskilling,learning_platform,upskilling_hours_per_week,willingness_to_reskill,biggest_barrier,preferred_learning_mode,top_skill_pursued,reskilling_awareness_source,employer_provides_reskilling,govt_reskilling_subsidies,satisfaction_employer_ld,would_switch_for_reskilling,career_confidence_5yr,career_anxiety,accept_lower_pay_futureproof,expected_role_change_timeline,successful_reskill_transition,automation_vulnerability_idx,reskilling_engagement_score,support_ecosystem_score,anxiety_to_action_ratio,income_reskilling_gap,future_readiness_idx
R00001,36,Female,India,Below High School,Unemployed - Seeking,Energy/Utilities,Manager/Director,17,₹12-25L,2.0,2,No,21-40%,2,No,None,0.0,3,Time,In-person Classroom,None,Employer,No,No,2,Yes,2,3,No,9,No,0.19,0.125,0.088,3.704,Complacent High Earner,0.375
R00002,35,Female,India,Bachelor's,Full-time Employed,Healthcare,Senior,13,₹12-25L,3.0,3,Yes,41-60%,4,No,None,1.7,3,Cost,Online Self-paced,Project Management,Social Media,No,Unsure,1,Yes,4,5,No,6,No,0.65,0.351,0.15,2.77,Complacent High Earner,0.625
R00003,27,,UK,Master's,Full-time Employed,Technology/IT,Entry-level,2,<£15K,0.0,4,No,41-60%,2,No,None,0.0,3,No Relevant Programs,Online Self-paced,None,Social Media,Yes,No,4,Yes,4,5,Yes,2,No,0.45,0.125,0.612,7.407,At-Risk Low Earner,0.692
R00004,42,Male,USA,Bachelor's,Full-time Employed,Healthcare,Executive/C-suite,21,$50-75K,3.0,3,No,0-20%,1,No,None,0.0,4,Employer Doesn't Support,Online Self-paced,None,Employer,No,Yes,2,No,2,2,No,3,No,0.23,0.188,0.387,1.263,At-Risk Low Earner,0.562
R00005,37,Female,Brazil,Bachelor's,Unemployed - Seeking,Technology/IT,Manager/Director,15,<R$20K,4.0,1,No,21-40%,5,No,None,0.0,5,No Relevant Programs,Online Self-paced,None,Employer,No,No,2,Yes,5,3,Yes,6,No,0.09,0.25,0.088,1.923,At-Risk Low Earner,0.9
R00006,40,Male,UK,Master's,Full-time Employed,Technology/IT,Manager/Director,18,£80-120K,1.0,3,No,41-60%,4,Yes,YouTube/Free Resources,5.0,4,Lack of Awareness,Online Instructor-led,Cloud Computing,Peers/Network,Yes,No,5,No,4,3,No,6,No,0.35,0.712,0.7,0.693,Invested High Earner,0.712
R00007,50,Male,Australia,High School/Diploma,Full-time Employed,Financial Services,Manager/Director,23,A$100-160K,2.0,3,Yes,41-60%,4,No,None,0.0,4,Time,Online Self-paced,None,Peers/Network,Yes,No,3,No,2,3,Yes,1,Yes,0.65,0.188,0.525,2.525,Complacent High Earner,0.596
R00008,39,Male,South Africa,High School/Diploma,Part-time Employed,Agriculture,Mid-level,16,<R80K,2.0,4,Yes,41-60%,3,No,None,0.0,2,Employer Doesn't Support,Online Instructor-led,None,Employer,No,Unsure,1,Yes,2,3,No,4,No,0.75,0.062,0.15,6.944,At-Risk Low Earner,0.371
R00009,36,Male,Japan,Master's,Full-time Employed,Retail/E-commerce,Senior,14,¥5-8M,3.0,4,Yes,0-20%,2,Yes,Bootcamp,1.6,3,No Relevant Programs,Online Self-paced,Soft Skills/Leadership,Self-Research,No,Yes,3,No,4,4,No,4,Yes,0.63,0.599,0.475,1.232,At-Risk Low Earner,0.658
R00010,39,Male,UAE,Below High School,Full-time Employed,Energy/Utilities,Senior,18,AED 480-720K,2.0,3,No,41-60%,2,No,None,0.0,4,Employer Doesn't Support,Hybrid,None,News/Media,No,Unsure,2,No,3,4,Yes,5,Yes,0.35,0.188,0.238,3.788,Complacent High Earner,0.629
R00011,42,Female,USA,High School/Diploma,Student,Manufacturing,Entry-level,19,$75-120K,0.0,2,No,21-40%,3,Yes,LinkedIn Learning,8.4,4,Lack of Awareness,Online Instructor-led,Soft Skills/Leadership,Self-Research,No,No,1,No,3,3,No,7,Yes,0.19,0.764,0.0,0.646,Invested High Earner,0.596
R00012,37,Female,UK,Bachelor's,Full-time Employed,Energy/Utilities,Entry-level,14,£80-120K,3.0,3,No,21-40%,2,No,None,0.0,3,Lack of Awareness,In-person Classroom,None,Employer,Yes,Unsure,4,No,3,3,No,9,Yes,0.29,0.125,0.762,3.704,Complacent High Earner,0.475
R00013,27,Male,USA,Bachelor's,Full-time Employed,Financial Services,Mid-level,6,$25-50K,0.0,3,Yes,41-60%,4,No,University/College Program,0.0,4,Cost,On-the-job Training,None,Social Media,Yes,No,3,Yes,4,2,No,3,No,0.65,0.188,0.525,1.263,At-Risk Low Earner,0.762
R00014,36,Male,USA,Master's,Full-time Employed,Manufacturing,Manager/Director,9,$75-120K,2.0,2,No,0-20%,4,No,University/College Program,0.0,4,Employer Doesn't Support,On-the-job Training,None,Peers/Network,No,Unsure,2,No,4,2,Yes,5,No,0.13,0.188,0.238,1.263,Complacent High Earner,0.729
R00015,55,Non-Binary,Singapore,Bachelor's,Unemployed - Seeking,Education,Mid-level,34,S$50-90K,3.0,4,Yes,61-80%,1,Yes,LinkedIn Learning,14.4,1,Lack of Awareness,Online Self-paced,UX/UI Design,None,No,No,2,Yes,2,5,No,3,Yes,0.81,0.666,0.088,1.479,Striving Upskiller,0.3
R00016,36,Male,South Africa,Master's,Full-time Employed,Media/Entertainment,Mid-level,11,,2.0,3,Yes,61-80%,3,No,None,0.0,2,No Relevant Programs,Online Self-paced,None,Employer,No,No,2,No,4,4,Yes,6,No,0.71,0.062,0.088,10.0,Unknown,0.538
R00017,40,Male,Singapore,Bachelor's,Full-time Employed,Energy/Utilities,Manager/Director,14,S$150-250K,3.0,4,No,41-60%,2,Yes,Coursera,1.0,5,Lack of Awareness,Hybrid,Soft Skills/Leadership,Peers/Network,No,No,3,No,4,5,No,3,No,0.45,0.715,0.175,1.379,Complacent High Earner,0.85
R00018,35,Male,Philippines,High School/Diploma,Unemployed - Seeking,Agriculture,Mid-level,10,<₱150K,1.0,3,No,41-60%,3,No,University/College Program,0.0,3,Cost,Hybrid,None,News/Media,No,No,1,No,2,3,No,5,No,0.35,0.125,0.0,3.704,At-Risk Low Earner,0.442
R00019,31,Female,India,High School/Diploma,Full-time Employed,Logistics/Supply Chain,Manager/Director,11,₹12-25L,2.0,2,No,41-60%,3,No,Bootcamp,0.0,3,Family Responsibilities,Peer Learning/Mentorship,None,Employer,No,Unsure,1,No,2,2,No,7,No,0.25,0.125,0.15,1.852,Complacent High Earner,0.408
